,vehicleid,recievetime,,,
936,EW11,1709221300,,,
937,EN13,1709221300,,,
938,EN11,1709221300,,,
939,EN10,1709221300,,,
940,SW01,1709221300,,,
941,SN13,1709221300,,,
942,SN12,1709221300,,,
943,SN10,1709221300,,,
944,SE12,1709221300,,,
945,ES03,1709221300,,,
946,ES01,1709221300,,,
947,ES00,1709221300,,,
948,EW12,1709221300,,,
949,EW11,1709221300,,,
950,EW10,1709221300,,,
951,EN12,1709221300,,,
952,EN11,1709221300,,,
953,SW03,1709221300,,,
954,SW01,1709221300,,,
955,SN13,1709221300,,,
956,SN11,1709221300,,,
957,SN10,1709221300,,,
958,SE12,1709221300,,,
959,ES03,1709221300,,,
960,ES02,1709221300,,,
961,ES01,1709221300,,,
962,EW12,1709221300,,,
963,EW11,1709221300,,,
964,EN13,1709221300,,,
965,EN11,1709221300,,,
966,EN10,1709221300,,,
967,SW03,1709221300,,,
968,SW02,1709221300,,,
969,SW00,1709221300,,,
970,SN12,1709221300,,,
971,SN10,1709221300,,,
972,SE13,1709221300,,,
973,SE11,1709221300,,,
974,SE10,1709221300,,,
975,ES01,1709221300,,,
976,EW13,1709221300,,,
977,EW11,1709221300,,,
978,EN13,1709221300,,,
979,EN10,1709221300,,,
980,SW02,1709221300,,,
981,SW00,1709221300,,,
982,SN12,1709221300,,,
983,SN10,1709221300,,,
